run,arm,width,height,sample,Timestamp,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHIThreadTime,GameThreadWaitTime,PawnCount,IgnoredForSummary
hwrt-off-1080-4-v3,v3,1920,1080,19,2026-09-07T22:21:19.580Z,12.220400,10.247900,6.300700,12.220400,6.180600,6.989100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,20,2026-09-07T22:21:20.575Z,12.047700,10.224900,5.887000,12.047700,6.179200,8.193400,1,0
hwrt-off-1080-4-v3,v3,1920,1080,21,2026-09-07T22:21:21.579Z,12.620800,10.239200,6.662600,12.620800,6.250100,6.975600,1,0
hwrt-off-1080-4-v3,v3,1920,1080,22,2026-09-07T22:21:22.572Z,13.435100,10.293100,6.238100,13.435100,6.275700,6.868200,1,0
hwrt-off-1080-4-v3,v3,1920,1080,23,2026-09-07T22:21:23.580Z,12.077400,10.342900,6.958400,12.077400,6.433300,6.937900,1,0
hwrt-off-1080-4-v3,v3,1920,1080,24,2026-09-07T22:21:24.573Z,11.935300,10.215000,6.243100,11.935300,6.330800,6.994600,1,0
hwrt-off-1080-4-v3,v3,1920,1080,25,2026-09-07T22:21:25.578Z,12.776800,10.226000,6.500900,12.776800,6.104700,7.199900,1,0
hwrt-off-1080-4-v3,v3,1920,1080,26,2026-09-07T22:21:26.583Z,11.902500,10.236000,5.933200,11.902500,6.163300,7.050100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,27,2026-09-07T22:21:27.576Z,12.293900,10.247400,5.906800,12.293900,6.176400,7.041100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,28,2026-09-07T22:21:28.582Z,11.917400,10.307600,5.683200,11.917400,6.570500,6.821200,1,0
hwrt-off-1080-4-v3,v3,1920,1080,29,2026-09-07T22:21:29.578Z,12.075200,10.245600,6.704200,12.075200,6.027400,6.962200,1,0
hwrt-off-1080-4-v3,v3,1920,1080,30,2026-09-07T22:21:30.581Z,13.240900,10.232600,6.034900,13.240900,6.020100,7.610300,1,0
hwrt-off-1440-1-v3,v3,2560,1440,1,2026-09-07T22:24:24.591Z,19.215799,15.212100,7.589800,19.215799,10.874200,12.178900,1,0
hwrt-off-1440-1-v3,v3,2560,1440,2,2026-09-07T22:24:25.578Z,19.816500,15.208400,9.013600,19.816500,10.745300,12.172100,1,0
hwrt-off-1440-1-v3,v3,2560,1440,3,2026-09-07T22:24:26.579Z,18.889200,15.187000,8.860000,18.889200,10.603200,12.799600,1,0
