run,driver,sequence,start_ticks,end_ticks,frequency,gpu_ms,gpu_completion_fence_verified
01,installed-2.84,2040,15941506143713,15941506728089,100000000,5.84376,True
01,installed-2.84,2041,15941511227417,15941511812289,100000000,5.84872,True
01,installed-2.84,2042,15941516301681,15941516886149,100000000,5.84468,True
01,installed-2.84,2043,15941521395205,15941521979837,100000000,5.84632,True
01,installed-2.84,2044,15941526470281,15941527053221,100000000,5.8294,True
01,installed-2.84,2045,15941531562277,15941532145481,100000000,5.83204,True
01,installed-2.84,2046,15941536645193,15941537231001,100000000,5.85808,True
01,installed-2.84,2047,15941541758817,15941542342649,100000000,5.83832,True
01,installed-2.84,2048,15941546855681,15941547438205,100000000,5.82524,True
01,installed-2.84,2049,15941551933013,15941552517281,100000000,5.84268,True
01,installed-2.84,2050,15941556997273,15941557582869,100000000,5.85596,True
01,installed-2.84,2051,15941562057357,15941562640129,100000000,5.82772,True
01,installed-2.84,2052,15941567132501,15941567715357,100000000,5.82856,True
01,installed-2.84,2053,15941572198325,15941572783133,100000000,5.84808,True
01,installed-2.84,2054,15941577283961,15941577867053,100000000,5.83092,True
01,installed-2.84,2055,15941582357013,15941582940525,100000000,5.83512,True
01,installed-2.84,2056,15941587452409,15941588034461,100000000,5.82052,True
01,installed-2.84,2057,15941592534733,15941593119773,100000000,5.8504,True
01,installed-2.84,2058,15941597616221,15941598200357,100000000,5.84136,True
01,installed-2.84,2059,15941602700869,15941603286653,100000000,5.85784,True
02,original-v3-2.82,1626,15960519693645,15960520495685,100000000,8.0204,True
02,original-v3-2.82,1627,15960525633309,15960526435001,100000000,8.01692,True
02,original-v3-2.82,1628,15960531568085,15960532370137,100000000,8.02052,True
02,original-v3-2.82,1629,15960537517797,15960538319841,100000000,8.02044,True
02,original-v3-2.82,1630,15960543460273,15960544261621,100000000,8.01348,True
02,original-v3-2.82,1631,15960549429897,15960550231637,100000000,8.0174,True
02,original-v3-2.82,1632,15960555358225,15960556159409,100000000,8.01184,True
02,original-v3-2.82,1633,15960561312489,15960562113913,100000000,8.01424,True
02,original-v3-2.82,1634,15960567234917,15960568037237,100000000,8.0232,True
02,original-v3-2.82,1635,15960573197637,15960573999053,100000000,8.01416,True
02,original-v3-2.82,1636,15960579157161,15960579958885,100000000,8.01724,True
02,original-v3-2.82,1637,15960585107693,15960585908921,100000000,8.01228,True
02,original-v3-2.82,1638,15960591064641,15960591866213,100000000,8.01572,True
02,original-v3-2.82,1639,15960597015653,15960597817377,100000000,8.01724,True
