run,variant,resolution,frame,gpu_ms
measure-1080p-r1-p1-fsr411,fsr411,1080p,293,7.130320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,294,7.135040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,295,7.131480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,296,7.145200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,297,7.155560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,298,7.119120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,299,7.151000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,300,7.181520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,301,7.133480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,302,7.155920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,303,7.126080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,304,7.181800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,305,7.153880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,306,6.661640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,307,6.859400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,308,7.146480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,309,7.135160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,310,7.136880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,311,7.097040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,312,7.057080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,313,7.070000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,314,7.116680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,315,7.128400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,316,7.148040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,317,7.143600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,318,7.166440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,319,7.174880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,320,6.658680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,321,6.653280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,322,7.153160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,323,7.153160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,324,7.157600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,325,7.161520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,326,7.138600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,327,7.142160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,328,7.132040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,329,7.125320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,330,7.074400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,331,7.109960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,332,7.115080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,333,7.163760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,334,7.137520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,335,7.185600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,336,7.190600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,337,6.661920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,338,6.663440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,339,7.175000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,340,7.155760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,341,7.137200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,342,7.127520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,343,7.115680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,344,7.144840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,345,7.096000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,346,7.107800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,347,7.142920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,348,7.111400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,349,7.159600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,350,7.134000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,351,7.204840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,352,7.170000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,353,6.654640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,354,6.754520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,355,7.160520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,356,7.158920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,357,7.128280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,358,7.094400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,359,7.142240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,360,7.137800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,361,7.094120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,362,7.120280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,363,7.149040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,364,7.157760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,365,7.136680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,366,7.189320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,367,7.157200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,368,6.663360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,369,6.769640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,370,7.152280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,371,7.148480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,372,7.130560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,373,7.113520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,374,7.132280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,375,7.051880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,376,7.137360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,377,7.145920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,378,7.150360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,379,7.133320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,380,7.154120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,381,7.196480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,382,6.666880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,383,6.655120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,384,7.160480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,385,7.154200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,386,7.138600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,387,7.126000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,388,7.085400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,389,7.158880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,390,7.105760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,391,7.131680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,392,7.131240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,393,7.123040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,394,7.164600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,395,7.143400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,396,7.156800000
